Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2019 FLEET MANAGEMENT PARTNER - LEASEPLAN,5/06/2019,"112,754,938.00",AUD,LeasePlan Australia Ltd  South Whar,30 Convention Centre Place South Wharf VIC 3006,YES,NO,OPEN,,Stand-alone Agreement,Unlimited,"Compliance with the Brief and Scope (10%)
Company overview and support capacity (20%)
Company history, stability and capability (20%)
Experience pertnering Fleet Management services to businesses of similar fleet diversity (50%)

Overall Criteria
Non-Price (65%)
Price (35%)","Management, monitoring and reporting on all vehicles, plant and equipment which are included in the Queensland Rail road fleet.
Note - Contract value consists of Contract Cost for LeasePlan of $1.427M and Passthrough Costs for associated operational expenses related to the fleet (fuel, insurance, registration, maintenance, tolls, tyres) of approximately $101M over the 5 year term.",Not applicable,"The parties will meet periodically in order to discuss the Contractor's performance, to seek improvements in the provision of the Services and to resolve any issues that may arise.",CW2274757,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2019 PROVISION OF VEGETATION MANAGEMENT SERVICES (SEQ),29/07/2019,"25,250,000.00",AUD,ETS Vegetation Management Pty Ltd,62 Industrial Park Drive Lilydale VIC 3140,YES,NO,OPEN,,Stand-alone Agreement,,"Non-Price Criteria
1. Operational Experience - 15%
2. Capacity and Capability - 20%
3. Proposed Work Methodology	 - 10%
4. Quality Assurance - 5%
5. Safety Management - 10%
6. Environmental Management - 10%
7. Contract Management - 5%
8. Pricing Methodology - 10%
SUB-TOTAL - 85%

Price Criteria
Analyse and compare pricing submitted by Tenderers to ensure best commercial value for Queensland Rail.
Scoring method: Score of 1-10 based on price (lowest price = best score) - 15%
SUB-TOTAL - 15%

Overall Criteria
Non-Price Score - 85%
Price Score - 15%
TOTAL - 100%",Provision of Vegetation Management and Tree Trimming Services (SEQ),Not applicable,"Queensland Rail may conduct periodic reviews of the provision of the Services to assess the Contractor's performance, to seek improvements in the provision of the Services and to resolve any issues that may arise.",CW2292568,,CW2275130,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2018 - EQUIPMENT HIRE PANEL - JOE WAGNER GROUP,12/07/2018,"14,521,893.58",AUD,Joe Wagner Group Pty Ltd,15 Parker Street Drayton QLD 4350,YES,NO,OPEN,,Member of Panel,Unlimited,"Experience & Capability - 35%
Plant - 30%
Safety & Environment - 35%",Provision of equipment hire,Not applicable,Not applicable,CW2265083,,CW2262524,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",QITC - 2023 SEQ TRAINCREW ROSTERING UPGRADE (SIP),8/08/2023,"14,115,076.43",AUD,Deloitte Touche Tohmatsu,123 Eagle Street Brisbane QLD 4000,YES,NO,OPEN,,Stand-alone Agreement,Unlimited,"Non-Price Criteria
1 Experience & Capability - 30%
2 Proposed Delivery Methodology - 25%
3 Capability, & Availability, of skilled and experienced resources - 10%
4 Quality - 5%
5 ICT SME Participation Scheme - 10%

Price Criteria
1 Value for Money - 20%

TOTAL - 100%",Provision of the SEQ Traincrew Rostering Upgrade,Not applicable,"During the SOA term, the Principal will undertake ongoing performance evaluation of Services provided by the Supplier. KPls will be used to report on and facilitate measurement of the performance of the Supplier. The performance as measured by the KPls may be compared with benchmarks and standards as determined by thePrincipal.
The Principal will provide a KPI report to the Supplier. This report must be completedby the Supplier and provided to the Principal in an electronic format within fifteen (15)Business Days after the end of each quarter.
The type of KPls which will be requested under this SOA, include but are not limitedto:
• Customer Services and Satisfaction
• Quality of Services and Key Personnel
• Summary of Services provided, by specialisation and by region
• Quote response and success rate
• Accuracy and Timeliness of Reports
• Maintaining Professional Capability
• Compliance with the SOA
KPI meetings with the Supplier and the Principal will be held on a quarterly basis or as otherwise agreed by the parties.
The Principal and the Supplier will work together to ensure that all KPls remain current and applicable. This may require the inclusion of new KPI criteria and the amendment or removal of existing KP ls, as considered appropriate by the Principal during the SOA term.",CW2310175,,CW2311227,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2024 CABOOLTURE AND CORINDA FEEDER STATIONS SITE INTEGRATION WORKS (B.04835),26/02/2024,"13,697,966.00",AUD,Degnan (Qld) Pty Ltd,200 Mary Street Brisbane QLD 4000,YES,NO,OPEN,,Stand-alone Agreement,Unlimited,"Mandatory Criteria
1 Contractor Safety and Environment Management Pre-Qualification – Category 1.
2 Attendance at the site visit and tender briefing approximately 10 days after tender release.
3 Third Party Accredited Quality Management System

Non-Price Criteria
1 Organisational Experience - 15%
2 Experience of Project Management Team - 10%
3 Construction Methodology - 20%
4 Program - 10%
5 Project Risk - 10%
6 Local Content - 2.5%
7 Small to Medium Enterprises / First Nation Suppliers - 2.5%

Price Criteria
1 Dividing the lowest tendered price by each other tendered price, multiplied by the maximum score, multiplied by the price criterion weighting - 30%

TOTAL - 100%","Install and commission new, modern and safety compliant feeder stations and yard equipment at Caboolture and Corinda to replace life-expired infrastructure","Corinda:

SUPPLIER DELIVERABLE DATE -MILESTONE - PERCENTAGE OF SEPARABLE PORTION
24/01/2022 - Planning - 15.00%
22/03/2022 - Procurement of long lead items & 25% Design for review. Insulation coordination report provided - 15.00%
30/05/2022 - 75% Design completed - 7.50%
25/07/2022 - Detailed Design Completed - 16.00%
30/03/2023 - FAT completed Ready for shipment to site - 20.00%
21/08/2023 - Switchroom Delivery - 6.00%
28/09/2023 - Installation Completed - 5.50%
10/11/2023 - SAT Completed - 5.00%
10/11/2023 - Practical Completion - 5.00%
30/12/2023 - Commisioning & Acceptance - 5.00%

Caboolture:

24/01/2022 - Planning - 15.00%
28/07/2022 - Procurement of long lead items & 25% Design for review. Insulation coordination report provided - 15.00%
28/07/2022 - 75% Design completed - 7.50%
25/11/2022 - Detailed Design Completed - 16.00%
21/07/2023 - FAT completed Ready for shipment to site - 20.00%
15/12/2023 - Switchroom Delivery - 6.00%
22/01/2024 - Installation Completed - 5.50%
30/03/2024 - SAT Completed - 5.00%
30/03/2024 - Practical Completion - 5.00%
20/05/2024 - Commisioning & Acceptance - 5.00%","(a) The Contractor must, within 10 Business Days of the Date of Contract or as otherwise directed in writing by the Superintendent, submit to the Superintendent a plan which documents all of the systems, procedures and plans required to be implemented by the Contractor under the Contract (Contract Plan). The Contract Plan will include other plans that are required under the Contract (for example Contract Program and the Safety Management Plan or WHS Management Plan (as applicable) as those plans are finalised).
(b)	The Contractor must establish, review, maintain, update and implement the Contract Plan.
(c)	This clause does not limit the Contractor's obligation under this Contract to submit particular plans.

The Contractor must:
(a)	implement a Quality Management System covering all phases of the Work;
(b)	ensure that all Subcontractors have and implement quality assurance programs and systems of a standard equivalent to the Contractor's Quality Management System; and
(c)	allow the Superintendent access to the Contractor's Quality Management System and those of its Subcontractors for the purposes of quality monitoring and auditing.",CW2314665,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4034",2024 Plant Hire Panel - Lyons Machine Hire Pty Ltd,25/06/2024,"13,545,206.72",AUD,Lyons Machine Hire Pty Ltd,36382 Bruce Highway Alligator Creek QLD 4816,NO,NO,OPEN,,Member of Panel,Unlimited,"Non-Price Criteria
1. Capability   - 25%
2. Capacity to Supply - 10%
3. Quality and Safety Management - 15%
4. Methodology - 10%
5. Compliance to the Scope of Work - 10%
6. Local Content - 10%

Price Criteria	
7.Pricing - 20%

TOTAL - 100%",Provision of Plant and Equipment Hire Services,Not applicable,"The Owner must provide the Equipment to the Hirer in accordance with:
(a) the Contract; and
(b) the Applicable Codes and Standards.",CW2314513,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4004",2024 Plant Hire Panel - Georges Loader Hire Pty Ltd,25/06/2024,"10,000,000.00",AUD,Georges Loader Hire Pty Ltd,262 Bowhill Road Willawong QLD 4110,NO,NO,OPEN,,Member of Panel,Unlimited,"Non-Price Criteria
1. Capability   - 25%
2. Capacity to Supply - 10%
3. Quality and Safety Management - 15%
4. Methodology - 10%
5. Compliance to the Scope of Work - 10%
6. Local Content - 10%

Price Criteria	
7.Pricing - 20%

TOTAL - 100%",Provision of Plant and Equipment Hire Services,Not applicable,"The Owner must provide the Equipment to the Hirer in accordance with:
(a) the Contract; and
(b) the Applicable Codes and Standards.",CW2314399,,CW2312331,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4118",2024 Access Agreement Traveltrain,30/07/2024,"9,460,000.00",AUD,Aurizon Network Pty Ltd,PO Box 456 Brisbane QLD 4001,NO,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2319897,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4093",2024 Provision of Pest Services,29/07/2024,"7,200,000.00",AUD,Flick Pest Control Services,41 Bunya Street Eagle Farm QLD 4009,NO,NO,OPEN,,,,,,,,CW2318694,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",QITC - 2023 SCHEDULING AND OPERATIONS SYSTEM,7/09/2023,"7,002,918.24",AUD,GIRO Inc,75 Port Royal Montreal QC H3L 3T1,YES,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2311227,,,,,
