Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2018 - EQUIPMENT HIRE PANEL - GEORGE'S LOADER HIRE,12/07/2018,"33,645,332.00",AUD,Georges Loader Hire Pty Ltd,262 Bowhill Road Willawong QLD 4110,YES,NO,OPEN,,Member of Panel,Unlimited,"Experience & Capability - 35%
Plant - 30%
Safety & Environment - 35%",Provision of equipment hire,Not applicable,Not applicable,CW2265043,,CW2262524,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2021 NEAR NORTH COAST LINE STEEL BRIDGE RE-PAINTING,23/12/2021,"20,357,399.00",AUD,Eptec Services Pty Ltd,PO Box 782 Ultimo NSW 2007,YES,NO,OPEN,,Stand-alone Agreement,Unlimited,"Mandatory Criteria
Contractor Safety & Environment Management Pre-qualification (Category 1) - Pass/Fail
Mandatory Site Inspection - Pass/Fail

Non-Price Criteria
1. Company Profile, Capability and Experience - 10%
2. Proposed Delivery Methodology - 15%
3. Proposed Program of Work - 15%
4. Resourcing of Project Management Team & Depth of Alternative Resources for Key Positions - 9%
5. Quality Assurance, Environmental Management, Health & Safety Management - 8%
6. Risk Assessment - 5%
7. Local Benefits - 3%
8. Value Add and Innovation - 5%

Price Criteria
1. Lump Sum Price for Separable Portion 1 - 30%

TOTAL - 100%",Provision of Near North Coast Line Steel Bridge Re-Painting,"Separable Portions and Process:
Optional SP2 - Burnett River Bridge
Optional SP3 - Mary River Bridge
Optional SP4 - Kolan River Bridge
Optional SP5 - Boyne River Bridge","QR Contract Manager
Accountable for the management of the contract including:
- Arranging SAP material numbers for contract items (if required)
- Arrange structure of SAP Outline Agreement to reflect contract
- Complete Conflicts of Interest Declaration
- Understands the scope, relevant risks, and nature of the contract
- Complete Contract Management Plan
- Manages Queensland Rail's obligations
- Monitor supplier performance against contract (KPIs, contractual obligations)
- Monitor adherence to QR and external reporting requirements (eg. QCLC, Training Policy)
- Monitor expenditure vs approved budget
- Manage performance securities
- Manage Q-Leave (if applicable)
- Resolve issues
- Escalate disputes or claims lodged against QR for support by CA / Legal
- Manage variations and extensions in consultation with CA (excluding ICT and Infrastructure)
- Monitor cotinuity of insurances: receive evidence, request certificate of currenty at renewal
- Ensure records are maintained in the CMS
- Perform handover if Contract Manager obligations transition to another colleague
- Complete end of contract review
* Any questions or concerns to be directed to Contracts Advisor *",CW2297611,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2018 - EQUIPMENT HIRE PANEL - MORTONS EARTHMOVING,12/07/2018,"19,874,546.00",AUD,Morton's Earthmoving,MS 102 Ingham QLD 4850,YES,NO,OPEN,,Member of Panel,Unlimited,"Experience & Capability - 35%
Plant - 30%
Safety & Environment - 35%",Provision of equipment hire,Not applicable,Not applicable,CW2265136,,CW2262524,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2018 - EQUIPMENT HIRE PANEL - MACPHERSON JAMES CIVIL,26/07/2018,"12,500,000.00",AUD,Macpherson James Civil Pty Ltd,PO Box 340 Rocklea QLD 4106,YES,NO,OPEN,,Member of Panel,Unlimited,"Experience & Capability - 35%
Plant - 30%
Safety & Environment - 35%",Provision of equipment hire,Not applicable,Not applicable,CW2265109,,CW2262524,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 READY FOR GROWTH PROGRAM PARTNER PANEL - ACCENTURE,13/07/2023,"10,000,000.00",AUD,Accenture Australia Holdings Pty Lt,3 Sussex street Barangaroo NSW 2000,NO,NO,SELECTIVE,,Member of Panel,29,"Non-Price Criteria
1. Common Requirements (Part 3A of the Tender Response Forms)

1. Core and desirable requirements - 10%
2. Methodology of the Panel Partner to provide leadership in coordination, efficiency and de-risking - 2%
3. Experience as a partner in complex, multi-partner transformation environments - 2%
4. Skills transfer and benefits sustainment approaches - 2%
5. Nominated key personnel - 2%
6. Ability and experience as Primary Partner - 2%

2. Bundle Requirements (Part 3B of the Tender Response Forms)

1. Capability – Provide end-to-end support for initiatives/services within the nominated Bundle(s) - 10%
2. Capability – Methodology to develop approaches - 10%
3. Capability – Be a highly credible advisor to senior internal and external stakeholders - 10%
4. Capability – Expertise as Primary Partner - 5%
5. Capacity – Organisational capacity to undertake initiatives within the nominated Bundle(s) - 10%
6. Capacity – Workload management and prioritisation - 5%
7. Capacity – Brisbane presence - 5%
SUB-TOTAL - 75%

Price Criteria
Schedule of rates for nominated Bundle(s) - 25%
TOTAL - 100%",Provide specialised professional services relevant to transformation phase of “Ready for Growth” Program,Not applicable,Not applicable,CW2309551,,CW2309546,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 READY FOR GROWTH PROGRAM PARTNER PANEL - PARTNERS IN PERFORMANCE,13/07/2023,"10,000,000.00",AUD,Partners in Performance Internation,36-38 Clarence Street Sydney NSW 2000,NO,NO,SELECTIVE,,Member of Panel,29,"Non-Price Criteria
1. Common Requirements (Part 3A of the Tender Response Forms)

1. Core and desirable requirements - 10%
2. Methodology of the Panel Partner to provide leadership in coordination, efficiency and de-risking - 2%
3. Experience as a partner in complex, multi-partner transformation environments - 2%
4. Skills transfer and benefits sustainment approaches - 2%
5. Nominated key personnel - 2%
6. Ability and experience as Primary Partner - 2%

2. Bundle Requirements (Part 3B of the Tender Response Forms)

1. Capability – Provide end-to-end support for initiatives/services within the nominated Bundle(s) - 10%
2. Capability – Methodology to develop approaches - 10%
3. Capability – Be a highly credible advisor to senior internal and external stakeholders - 10%
4. Capability – Expertise as Primary Partner - 5%
5. Capacity – Organisational capacity to undertake initiatives within the nominated Bundle(s) - 10%
6. Capacity – Workload management and prioritisation - 5%
7. Capacity – Brisbane presence - 5%
SUB-TOTAL - 75%

Price Criteria
Schedule of rates for nominated Bundle(s) - 25%
TOTAL - 100%",Provide specialised professional services relevant to transformation phase of “Ready for Growth” Program,Not applicable,Not applicable,CW2309571,,CW2309546,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 KURANDA SCENIC RAILWAY BOGIE OVERHAUL PROGRAM,21/07/2023,"5,824,346.00",AUD,Wulguru Steel Pty Ltd,PO Box 2144 Wulguru QLD 4811,NO,NO,OPEN,,,,,,,,CW2306545,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2018 - EQUIPMENT HIRE PANEL - THE TRUSTEE FOR THE OTTO FAMILY TRUST,8/04/2019,"4,539,625.40",AUD,Otto Housing and Commercial,66 Chapman Drive Wamuran QLD 4512,YES,NO,OPEN,,,,,,,,CW2274026,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 IMU160-SMU260 COMPONENT CHANGE OUT COUPLER OVERHAULS,29/07/2022,"4,130,874.93",AUD,Voith Turbo Pty Ltd,23-47 Percival Road Smithfield NSW 2164,YES,NO,LIMITED,Sole Source / Technical constraint,,,,,,,CW2302829,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2023 PRINT AND DISTRIBUTION OF NOISE NOTICES,27/07/2023,"2,900,308.00",AUD,CPX Printing & Logistics,PO Box 857 Brisbane QLD 4001,NO,NO,OPEN,,,,,,,,CW2308244,,,,,
